date,cdata.deviceName,sdata.reading
2019-04-16T02:19:59.000Z,水表-2楼,2.1932
2019-04-16T02:19:59.000Z,水表-1楼,2.7173
2019-04-16T02:19:59.000Z,水表-3楼,4.6799
2019-04-16T02:29:59.000Z,水表-2楼,2.1932
2019-04-16T02:29:59.000Z,水表-1楼,2.7173
2019-04-16T02:29:59.000Z,水表-3楼,4.6799
2019-04-16T02:39:59.000Z,水表-2楼,2.1948
2019-04-16T02:39:59.000Z,水表-1楼,2.7173
2019-04-16T02:39:59.000Z,水表-3楼,4.6799
2019-04-16T02:49:59.000Z,水表-2楼,2.2428
2019-04-16T02:49:59.000Z,水表-1楼,2.7173
2019-04-16T02:49:59.000Z,水表-3楼,4.6799
2019-04-16T02:59:59.000Z,水表-2楼,2.2438
2019-04-16T02:59:59.000Z,水表-1楼,2.7173
2019-04-16T02:59:59.000Z,水表-3楼,4.7048
2019-04-16T03:09:59.000Z,水表-2楼,2.2446
2019-04-16T03:09:59.000Z,水表-1楼,2.7173
2019-04-16T03:09:59.000Z,水表-3楼,4.7245
2019-04-16T03:19:59.000Z,水表-2楼,2.2453
2019-04-16T03:19:59.000Z,水表-1楼,2.7173
2019-04-16T03:19:59.000Z,水表-3楼,4.7366
2019-04-16T03:29:59.000Z,水表-2楼,2.2464
2019-04-16T03:29:59.000Z,水表-1楼,2.7173
2019-04-16T03:29:59.000Z,水表-3楼,4.7631
2019-04-16T03:39:59.000Z,水表-2楼,2.2481
2019-04-16T03:39:59.000Z,水表-1楼,2.7173
2019-04-16T03:39:59.000Z,水表-3楼,4.7884
2019-04-16T03:49:59.000Z,水表-2楼,2.2504
2019-04-16T03:49:59.000Z,水表-1楼,2.7178
2019-04-16T03:49:59.000Z,水表-3楼,4.8166
2019-04-16T03:59:59.000Z,水表-2楼,2.2509
2019-04-16T03:59:59.000Z,水表-1楼,2.7178
2019-04-16T03:59:59.000Z,水表-3楼,4.8334
2019-04-16T04:09:59.000Z,水表-2楼,2.2572
2019-04-16T04:09:59.000Z,水表-1楼,2.723
2019-04-16T04:09:59.000Z,水表-3楼,4.8505
2019-04-16T04:19:59.000Z,水表-2楼,2.2757
2019-04-16T04:19:59.000Z,水表-1楼,2.723
2019-04-16T04:19:59.000Z,水表-3楼,4.8517
2019-04-16T04:29:59.000Z,水表-2楼,2.2885
2019-04-16T04:29:59.000Z,水表-1楼,2.7259
2019-04-16T04:29:59.000Z,水表-3楼,4.856
2019-04-16T04:39:59.000Z,水表-2楼,2.2897
2019-04-16T04:39:59.000Z,水表-1楼,2.7259
2019-04-16T04:39:59.000Z,水表-3楼,4.8624
2019-04-16T04:49:59.000Z,水表-2楼,2.2907
2019-04-16T04:49:59.000Z,水表-1楼,2.7259
2019-04-16T04:49:59.000Z,水表-3楼,4.8663
2019-04-16T04:59:59.000Z,水表-2楼,2.2929
